test_id,test,expected,observed,status,detail
M1a,"no odds row shares a (season, home, away) key with another",0,0,PASS,the join key must identify a fixture uniquely or the merge silently multiplies rows
M1b,"every one of the project's 1,900 matches joins exactly one odds row","1900 matched, 0 unmatched","1900 matched, 0 unmatched",PASS,"joined on (season, home, away), NOT on date - two sources can disagree about the date of a rearranged fixture while agreeing about the fixture. The date is reconciled instead, at M2b"
M2a,football-data.co.uk and the project's own foundation agree on every scoreline,0,0,PASS,"this is the Phase 0 Instrument 4 discipline applied to a new source: two independent descriptions of the same 1,900 matches must agree, and if they do not, one is wrong. Disagreements: none"
M2b,and on the date of every match,0,0,PASS,"reconciled rather than joined on, so a genuine rearrangement would surface here as a report instead of dropping the fixture at the merge. Disagreements: none"
M3,"the team mapping is closed - 27 names a side, none unmapped","27 / 27, 0 unmapped","27 / 27, 0 unmapped",PASS,"eight names differ and all eight are in TEAM_MAP, by dictionary lookup on the whole name. A ninth would fail here rather than being fuzzy-matched into the nearest thing. Unmapped: none | absent: none"
M7,each fold contributes exactly 380 outer-test matches,380 x 4,"[380, 380, 380, 380]",PASS,"the same 1,520 matches every figure in this project is computed on"
M4,"the PRIMARY book is complete on all 1,520 scored rows",1520,1520,PASS,"Bet365 closing was chosen for exactly this property (B3.3). Pinnacle is missing on 170 rows, every one of them in fold 4, which is why it is a per-fold sensitivity and is never pooled"
M6a-B365C,B365C: BOTH de-vigs return rows summing to 1,< 1e-12,2.220e-16,PASS,"free for the proportional one and not free for Shin, whose z is solved numerically: an under-converged solve shows up here as rows that do not sum to 1, and that is what caught the fixed-point iteration this instrument does not use"
M6b-B365C,"B365C: Shin's solved z lies in [0, 1) on every row","all in [0, 1)","min 0.014302, max 0.060670",PASS,z outside the bracket means the bisection was solving something other than what Shin describes
M6a-AvgC,AvgC: BOTH de-vigs return rows summing to 1,< 1e-12,2.220e-16,PASS,"free for the proportional one and not free for Shin, whose z is solved numerically: an under-converged solve shows up here as rows that do not sum to 1, and that is what caught the fixed-point iteration this instrument does not use"
M6b-AvgC,"AvgC: Shin's solved z lies in [0, 1) on every row","all in [0, 1)","min 0.013513, max 0.034646",PASS,z outside the bracket means the bisection was solving something other than what Shin describes
M6a-PSC,PSC: BOTH de-vigs return rows summing to 1,< 1e-12,2.220e-16,PASS,"free for the proportional one and not free for Shin, whose z is solved numerically: an under-converged solve shows up here as rows that do not sum to 1, and that is what caught the fixed-point iteration this instrument does not use"
M6b-PSC,"PSC: Shin's solved z lies in [0, 1) on every row","all in [0, 1)","min 0.003138, max 0.021978",PASS,z outside the bracket means the bisection was solving something other than what Shin describes
M9a,"the committed prediction artefacts align row-for-row with the odds rows, on the same ordering","1520 rows, identical results",aligned,PASS,"both artefacts and the odds frame are sorted by (season, date, home, away) and their result columns are compared elementwise. An off-by-one here would score the market against the wrong matches"
M9b,re-scoring the committed probabilities reproduces the committed pooled metrics,< 1e-12,0.000e+00,PASS,"this instrument fits nothing. If a model figure printed below differs from REPORTS.md, this is the check that should have caught it - all six metrics, all seven models"
M5,every probability array scored here passes the harness's own validate_probabilities,0,0,PASS,"12 arrays, market and model alike. The harness raises rather than repairing, so a renormalised break cannot pass quietly"
M8,"pooled log loss equals the unweighted mean of the four fold values, for every model and the market",< 1e-12,1.110e-16,PASS,true only because every fold tests exactly 380 rows. It has caught two bugs in this project and is asserted rather than assumed
M4b,"Pinnacle is reported per fold on the rows it covers, and never pooled",no pooled PSC row,0 pooled PSC rows,PASS,"asserted rather than left to discipline. The pooled table is built from complete arrays only, so a future edit that lets an incomplete book into it fails here"
M10,"reliability bin counts sum to the number of predictions, for every model",4560 per model,"min 4560, max 4560",PASS,three classes over 1520 matches. A prediction lost at a bin edge would show here and nowhere else
