test_id,test,expected,observed,status,detail
S0a,the freeze on disk is the one this instrument was built against,b36befd3e13d5f7f5d9b0af83b7db819e86d7b13e6fdcab4c55db0599fd248f6,b36befd3e13d5f7f5d9b0af83b7db819e86d7b13e6fdcab4c55db0599fd248f6,PASS,the instrument implements a specific specification and refuses to run against a different one
S0b,and the pin cites that same freeze,b36befd3e13d5f7f5d9b0af83b7db819e86d7b13e6fdcab4c55db0599fd248f6,b36befd3e13d5f7f5d9b0af83b7db819e86d7b13e6fdcab4c55db0599fd248f6,PASS,"the pin's whole design is that it records WHICH freeze text it was pinned against. This is that claim, checked"
S1,the instrument reproduces the frozen 2025-26 dc_walkforward figures bit for bit,0.000e+00,0.000e+00,PASS,"SAME STRUCTURE AS THE HOLDOUT: one cutoff, one contiguous scored block, a window over every earlier season. If this instrument's walk-forward differed from Phase 2's in any way, this is where it would show"
S2,and scores exactly the 380 matches of that season,380,380,PASS,"a count assertion in the dry run, mirroring H3.3's for the holdout"
S3,every fold reproduces its frozen dc_walkforward log loss,0.000e+00,0.000e+00,PASS,"all four, not only the one the holdout resembles"
S4b,"the frozen artefact still agrees with the figure REPORTS.md publishes, to five decimals",0.99036 / 0.20350,0.99036 / 0.20350,PASS,"the targets above are read from the artefact rather than typed, so this is what would catch the ARTEFACT drifting away from the report"
S4,and the pooled figure is the frozen 0.99036 / 0.20350,0.000e+00,0.000e+00,PASS,the unweighted fold mean equals the pooled figure at exactly 380 test rows per fold - the identity that has caught two bugs in this project
S5a,CONTROL: the un-poisoned 2025-26 frame passes the same assertion,no exception,no exception,PASS,"run BEFORE the poisoning, against the same vocabulary, so the failure below is attributable to the misspelling and to nothing else. A guard that fires on everything is not a guard"
S5,"H2.12 - a team name outside the declared vocabulary RAISES, and flags EXACTLY the one that was poisoned",HoldoutError naming 1 team,HoldoutError naming 1 team,PASS,"the failure V6b demonstrated is now caught, and caught for the right reason - exactly one name, 'Man United', against a control on the same frame that passed. Nothing is repaired: P4.5 requires a dated amendment to the pin, not a rescue in a loader"
S6,and the un-poisoned control and the poisoned run differ ONLY in that one name,"control passes, poisoned raises","control passed, poisoned raised",PASS,the pair is the test. Either half alone would be consistent with a guard that never fires or one that always does
S7,H6.6's zero-history split is implemented but NOT exercised,,no zero-history side in the development seasons,INFO,"Coventry City and Hull City appear in no dataset season, so the split has no rows to separate until 2026-27 arrives. The code path is written; it is honestly untested and is recorded as such rather than counted as a pass"
