test_id,test,expected,observed,status,detail
E4a,"the shot columns join all 1,900 matches with no missing cell","1900 joined, 0 missing","1900 joined, 0 missing",PASS,"the same join Phase 5B gated at 1,900/1,900. Re-asserted here because this instrument reads different COLUMNS of the same file and a column can be absent where a row is not"
E4b,"the source's known defects are exactly the ones the audit recorded, in count","1 SoT>shots, 12 goals>SoT","1 SoT>shots, 12 goals>SoT",PASS,"NOT REPAIRED. One impossible row (Newcastle 2-4 West Ham, AS 8 / AST 9) and twelve rows where goals exceed SoT, which are the expected signature of own goals rather than corruption. The counts are asserted so a source that changes underneath this rung fails here rather than being absorbed into a rating"
E9a,no odds column survives into the frame the ratings are fitted from,0,0,PASS,"the file is now read for two purposes and that does not merge the purposes. Only the twelve shot columns are selected out of it, by name, and this asserts the selection rather than trusting it. Survivors: none"
E5,"corrupting every match from the cutoff onward moves no fitted SoT or goals state, at 6 probe dates",0.0,0.000e+00,PASS,"goals, shots and shots on target all replaced with 999 from the cutoff forward. Attack, defence, the home multiplier and rho are compared team by team. Tested by corruption because re-reading the filter tests the reader, not the filter"
E6,and moves neither the pooled nor the home/away conversion constants,0.0,0.000e+00,PASS,"c is estimated from the same window as the ratings, so it carries the same exposure and is asserted under the same corruption. This is what makes 'training rows only' a tested claim rather than a declared one"
E3,rho is bit-identical between the arms,0.0,0.000e+00,PASS,"not merely fitted by the same rule - it is the SAME NUMBER, fitted once per window from the goals arm and handed to the SoT arm. This is what isolates the rating input as the single difference"
E9b,the frame the walk-forward fits from carries no odds column,0,0,PASS,"asserted on the frame actually passed to walk_forward, after the join, not on the selection that built it"
E7,every probability array passes the harness's validate_probabilities,0,0,PASS,3 arrays. The harness raises rather than repairing
E1,the goals arm re-fitted here reproduces the COMMITTED dc_walkforward bit for bit,< 1e-12,0.000e+00,PASS,"re-fitted rather than read so that every delta is a genuinely PAIRED bootstrap. If this moves, the two arms are not differing in one thing and nothing below is readable"
E2,the two arms differ in exactly one input and nothing else,identical settings,"identical: {'half_life_days': 107.0, 'max_goals': 25, 'refits': 460, 'rho_source': 'goals arm, shared'}",PASS,"both arms are produced inside ONE call to fit_both_arms per window, from the same window, the same weights and the same cutoff. They cannot drift apart by configuration because there is only one configuration. half-life 107.0, MAX_GOALS 25, 460 refits"
E8,pooled log loss equals the unweighted mean of the four fold values,< 1e-12,1.110e-16,PASS,true only because every fold tests exactly 380 rows
E10a,the committed model and market artefacts align row-for-row with this rung's predictions,aligned,aligned,PASS,"all three sorted by (season, date, home, away) and their result columns compared elementwise"
