test_id,test,expected,observed,status,detail
G1,generated state reproduces Phase 2's stored test-row lambdas,< 1e-9,0.000e+00,PASS,1520 test rows matched; this is what makes 'the same rules as D2' checkable rather than asserted
G2,matches with no prior history and therefore no DC state,,1,INFO,"the first date of 2021-22 has nothing before it; flagged, never silently defaulted to a neutral strength"
G3,"(season, matchweek) training blocks spanning over 7 days",,91,INFO,"Phase 4 section 7 specifies gameweek blocking AND strict date ordering; Instrument 4 Amendment 1 established those are incompatible here - postponed fixtures keep their original matchweek. Calendar-date blocking is used, as Amendment 1 resolved"
G4,log loss and RPS agree in sign on the passthrough gap,agree,agree,PASS,the Phase 4 rule: a sign disagreement makes the comparison INCONCLUSIVE
G5,does the 95% CI for the log-loss gap exclude zero,,no,INFO,"if it includes zero, the link is preserving DC within the resolution these 1,520 matches provide"
G6b,"boundary selections, gate NOT APPLICABLE",,"2 of 3 folds, min EPV 43.50",INFO,"every fold has EPV >= 10.0 (43.50 at worst), so the unpenalised fit is well identified and lambda -> 0 is the correct answer, not a grid artefact. Selected: fold 3 lambda 1e-06, fold 4 lambda 1e-06"
G6a,G6 applicability (EPV < 10.0 means applicable),,NOT APPLICABLE,INFO,"per fold: f2 EPV 43.50 (n 380 rarest 87 width 2), f3 EPV 84.50 (n 760 rarest 169 width 2), f4 EPV 131.00 (n 1140 rarest 262 width 2)"
G7,every training row actually used is fitted on a window no smaller than the smallest test window,0,0,PASS,burn-in 380 (derived: every test season follows a complete season); smallest test window 760; 0 of 1140 used training rows below it; training lambda_home reaches 4.64 against 4.62 across the test rows
G7b,training rows excluded by the burn-in gate,,380,INFO,"all of 2021-22; fold 1 therefore has no training set and this diagnostic runs on folds 2, 3, 4 only. Does NOT propagate to D2"
G7c,used training rows below the SMALLEST WINDOW OF THIS SUBSET's test rows (760),,380,INFO,"the declared burn-in of 380 comes from the full four-fold structure, where fold 1's test season follows one complete season. Dropping fold 1 leaves test rows whose windows all start at 760, so these rows sit in a window regime this three-fold subset does not itself contain. Reported, NOT enforced - tightening an approved threshold because the subset changed would be exactly the moving target the amendment forbids"
