test_id,test,expected,observed,status,detail
A4a,the robust mask selects exactly Amendment 4's three columns,3,3,PASS,"flagged: rel_attack_diff, rel_defence_diff, expected_total_goals | NOT flagged, on the source criterion of A4.1: rel_elo_diff"
A4b,no column both passes through unstandardised and takes robust scaling,0,0,PASS,"A4.4: Amendment 4 applies only to continuous columns, so section 6's rule and the robust rule can never contend for the same column"
G6,no applicable rung/fold selects a lambda on a grid boundary,0,0,PASS,"EPV 0.96 to 3.98 across the fitted rungs, so the gate is live everywhere"
DS13,D1 and the original D2 reproduce the COMMITTED artefact after the pipeline edit,< 1e-12 and 0 lambda moves,"0.000e+00, 0 moves",PASS,"the robust path is opt-in and defaults to off. Verified against outputs/phase4_ladder_fold_summary.csv as committed at c2528c5, not against an in-memory copy of it"
G9,"A5.2's prediction: D2-static at fold 1 equals D1 at fold 1, bit for bit, and selects the same lambda",0.0 and equal,"2.220e-16, 1000 vs 1000",FAIL,"2021-22 is the first season, so it has no frozen DC state and every season-start rating in it is 1500 flat. Fold 1 trains on it alone, so all four dynamic columns are constant there and the penalty drives them to zero. Declared in advance and asserted, not excused"
G9b,the MECHANISM A5.2 predicted: at fold 1 every dynamic-state coefficient is exactly zero,0.0,0.000e+00,PASS,"the block is inert at fold 1 exactly as declared - 2021-22 supplies no frozen state and no Elo spread, so the four columns are constant and the penalty zeroes them"
G9c,largest disagreement in the 88 SHARED coefficients at fold 1,,6.939e-18,INFO,"the two designs differ in width, so fit_multinomial solves a 267x267 system in one case and 279x279 in the other. The shared coefficients therefore round differently in their last bits, which is where G9's probability gap comes from - not from the dynamic columns, which G9b shows are exactly zero. This is a MEASUREMENT of the explanation, not the explanation on its own"
DS0,with an all-False mask the local pipeline reproduces I4.fit_pipeline bit-for-bit,0.0,0.000e+00,PASS,"the pass-through rule of section 6 is the ONLY difference between them; anchoring it here is what makes the new code path readable as Phase 3's, plus one declared change"
DS0b,design columns passing through unstandardised,,11,INFO,"section 6: boolean and indicator columns are neither centred nor scaled. Classified by column KIND, never by observed values"
DS1a,"DC state is invariant to corrupting every match from the cutoff onward, at 6 probe dates",0.0,0.000e+00,PASS,"the window is matches with date STRICTLY < cutoff, so nothing at or after the cutoff can reach the fit. Tested by corruption rather than by re-reading the filter"
DS1b,"every Elo before-rating follows from earlier matches alone, under Phase 2's declared season-transition policy",< 1e-9,0.000e+00,PASS,"3800 before-ratings checked against continuing / promoted / returning-after-absence, the three cases of Phase 1's transition table. A before-rating that is a pure function of the team's own earlier matches cannot carry information from later ones"
DS1c,each match's DC fitting window is exactly the count of matches strictly earlier in date,0,0,PASS,"an off-by-one here would put same-day matches into their own fitting window, which is the classic form of this leak"
DS1d,each match's STATIC fitting window is exactly the count of matches strictly before its season's first date,0,0,PASS,"the freezing rule of A5.1, checked against the data rather than against the code that implements it"
DS2,no outer-test row appears in any outer or inner training set,0,0,PASS,"checked across every rung, every outer fold and every inner fold"
DS2b,the fitted scaler reproduces exactly from the training rows alone,0.0,0.000e+00,PASS,"recomputed independently of the pipeline, from the training rows only; a test row leaking into the scaler would move this"
G10,no column takes the zero-scale guard while actually varying,0,2,FAIL,"the guard means 'this column is constant, so do not scale it'. Where the column is NOT constant the guard leaves it in raw units inside a penalised fit. Offenders: D2_static fold 2 column 89, D2_static fold 2 column 90"
G10b-D2_rescaled,"share of D2_rescaled's TRAINING rows with no DC state, imputed to the training median",,"f1 0%, f2 0%, f3 0%, f4 0%",INFO,at 50% the imputed value necessarily occupies both quartiles and the interquartile range is identically zero; below that it still compresses them. This is the quantity G10 is downstream of
G10b-D2_static,"share of D2_static's TRAINING rows with no DC state, imputed to the training median",,"f1 100%, f2 50%, f3 33%, f4 25%",INFO,at 50% the imputed value necessarily occupies both quartiles and the interquartile range is identically zero; below that it still compresses them. This is the quantity G10 is downstream of
DS3a,design widths match Amendment 3's table A3.2,"{'D1': 88, 'D2': 92, 'D3': 112, 'D4': 139}","{'D1': 88, 'D2': 92, 'D3': 112, 'D4': 139}",PASS,"D3 and D4 are NOT fitted in this session; their widths are computed from the frozen feature file, which is what DS3's nesting claim needs and is not a fit"
DS3b,strict nesting D1 < D2 < D3 < D4,strictly increasing,"[88, 92, 112, 139]",PASS,the ladder is nested by construction - each rung is the previous column set plus its own
DS3c,D2's columns are D1's columns plus exactly the four dynamic-state columns,92,92,PASS,"checked on the built matrices, not on the feature lists"
DS3d,D2-static has the same design width as D2,92,92,PASS,"the rungs differ in WHEN the state stopped updating and in nothing else, so a width difference would mean the comparison was not the one A5.3 declared"
DS4a,corrupting 2025-2026's features moves no selected lambda,0,0,PASS,"D2 rescaled, all four folds re-selected on the corrupted matrix"
DS4b,corrupting 2025-2026's features moves no OTHER fold's predictions,0.0,0.000e+00,PASS,"2025-2026 is the only season that is a test season and never a training season, so this assertion is not true by construction"
DS4c,CONTROL: its own fold's predictions DO move,> 0,9.291e-01,PASS,without this the two checks above would pass on a corruption that never landed
DS5,corrupting 2025-2026's labels moves no selected lambda,0,0,PASS,labels of an outer-test season enter scoring and nothing else; if they reached the inner CV this would move
DS6,D0 reproduces Phase 2's frozen base rate on all six metrics and all three class rates,< 1e-9,0.000e+00,PASS,"all four folds; D0 is Phase 2's baseline re-derived, so any divergence would mean the fold structure had moved under it"
DS7,Block C / Block X columns are read from the frozen artefacts,,"NOT EXERCISED (no C or X column enters D0, D1 or D2)",INFO,"the frozen feature file's block counts are {'C_context': 12, 'X_prior_composite': 24, 'X_availability': 3, 'X_metadata': 4}; DS10 verifies the file's hash. This test becomes live at D3, which is not run in this session"
DS8a,a second full run of every fitted rung reproduces every probability bit-for-bit,0.0,0.000e+00,PASS,"Newton from a zero start on a strictly convex objective, and a seeded bootstrap; nothing here should have a source of variation"
DS8b,and selects the same lambda at every fold,0,0,PASS,the selection is a deterministic minimum with a declared tie-break
DS9,every rung's pooled and per-fold output passes the harness's validate_probabilities,0,0,PASS,"20 probability arrays checked. The harness raises rather than repairing, so a renormalised break cannot pass silently"
DS10,frozen_manifest.py --verify: no frozen artefact moved hash,0,0,PASS,  PASS - every frozen artefact matches the manifest.
DS11,extracted DC state through Phase 2's own outcome_probabilities() reproduces dc_walkforward,< 1e-9,1.110e-16,PASS,1520 test rows; extracted 0.9903635065 against Phase 2's four-fold mean 0.9903635065. The state D2 is built from is the state DC scored
G8,the generated STATIC state reproduces Phase 2's stored dc_static lambdas on every test row,< 1e-9,0.000e+00,PASS,1520 test rows. A5.1 claims the freezing rule coincides with tier 2's ARM_STATIC by construction; this is the assertion of it. Without it D2-static would be a rung named after an arm it might not match
DS12,every inner split has max(train date) STRICTLY < min(validation date),0,0,PASS,"64 inner splits across every fitted rung and fold; the tightest gap is 1 day(s). This is the constraint that forced the calendar date to replace the (season, matchweek) block"
