test_id,test,expected,observed,status,detail
E4a,"the shot columns join all 1,900 matches with no missing cell","1900 joined, 0 missing","1900 joined, 0 missing",PASS,"the same join Phase 5B gated at 1,900/1,900. Re-asserted here because this instrument reads different COLUMNS of the same file and a column can be absent where a row is not"
E4b,"the source's known defects are exactly the ones the audit recorded, in count","1 SoT>shots, 12 goals>SoT","1 SoT>shots, 12 goals>SoT",PASS,"NOT REPAIRED. One impossible row (Newcastle 2-4 West Ham, AS 8 / AST 9) and twelve rows where goals exceed SoT, which are the expected signature of own goals rather than corruption. The counts are asserted so a source that changes underneath this rung fails here rather than being absorbed into a rating"
E9a,no odds column survives into the frame the ratings are fitted from,0,0,PASS,"the file is now read for two purposes and that does not merge the purposes. Only the twelve shot columns are selected out of it, by name, and this asserts the selection rather than trusting it. Survivors: none"
E10b,"the residual block is missing exactly where a team has fewer than five prior matches in the season, and nowhere else",0,0,PASS,"the window never crosses a season boundary (E6.3), so every season restarts with five matchweeks of unavailable rows. NaN is imputed to the TRAINING median by the pipeline's declared rule and carries an availability indicator, exactly as the project's other optional columns do"
E10e,the D1 backbone the base rung is built from contains none of the six new columns,"84 names, 0 of them new","84 names, 0 of them new",PASS,"block_of() classifies an unrecognised name as phase1_backbone and d1_features() selects the backbone by exclusion, so attaching before reading the base puts the new block INSIDE the control arm. This check exists because that is exactly what happened on the first run. 84 is a count of FEATURE NAMES; they expand to 88 design columns through the categoricals, which is what DS3a asserts separately"
E10,E1b's design is exactly D2 rescaled plus the six declared columns,"92 + 6 = 98, the six named in E6.5","92 + 6 = 98, added ['away_sot_residual_available', 'away_sot_residual_last5', 'home_sot_residual_available', 'home_sot_residual_last5', 'rel_sot_residual_available', 'rel_sot_residual_diff']",PASS,"checked by NAME on the built design, not by counting. A count of six is not the same claim as the six being the declared six"
A4a-D2_rescaled,Amendment 4's robust mask still selects exactly its three columns at D2_rescaled,3,3,PASS,"E6.6: the residuals are NOT DC-derived and must not take robust scaling. This is the check that would catch them drifting into it: rel_attack_diff, rel_defence_diff, expected_total_goals"
A4a-E1b,Amendment 4's robust mask still selects exactly its three columns at E1b,3,3,PASS,"E6.6: the residuals are NOT DC-derived and must not take robust scaling. This is the check that would catch them drifting into it: rel_attack_diff, rel_defence_diff, expected_total_goals"
E10c,"the three availability indicators pass through unstandardised, and the three residuals do not","3 passthrough, 3 standardised",3 passthrough of 3 indicators,PASS,"section 6 classifies by column KIND, so the indicators were built as bool dtype rather than as 0/1 floats. This asserts the classifier agreed"
G6,no applicable rung/fold selects a lambda on a grid boundary,0,0,PASS,"EPV 0.90 to 3.80, far below the applicability threshold of 10, so the gate is live at every rung and fold. Boundary selections: none"
E1b-A1,the D2 rescaled base re-fitted here reproduces the committed Amendment 4 artefact bit for bit,< 1e-12,5.551e-17,PASS,re-fitted rather than read so the E1b - D2rescaled delta is a genuinely PAIRED bootstrap from one process
E10d,every artefact read for comparison aligns row-for-row with this rung's pooled ordering,aligned,aligned,PASS,"all sorted by (season, date, home, away) and their result columns compared elementwise against this instrument's own ordering"
DS0,with an all-False mask the local pipeline reproduces I4.fit_pipeline bit-for-bit,0.0,0.000e+00,PASS,"the pass-through rule of section 6 is the ONLY difference between them; anchoring it here is what makes the new code path readable as Phase 3's, plus one declared change"
DS0b,design columns passing through unstandardised,,11,INFO,"section 6: boolean and indicator columns are neither centred nor scaled. Classified by column KIND, never by observed values"
DS1a,"DC state is invariant to corrupting every match from the cutoff onward, at 6 probe dates",0.0,0.000e+00,PASS,"the window is matches with date STRICTLY < cutoff, so nothing at or after the cutoff can reach the fit. Tested by corruption rather than by re-reading the filter"
DS1b,"every Elo before-rating follows from earlier matches alone, under Phase 2's declared season-transition policy",< 1e-9,0.000e+00,PASS,"3800 before-ratings checked against continuing / promoted / returning-after-absence, the three cases of Phase 1's transition table. A before-rating that is a pure function of the team's own earlier matches cannot carry information from later ones"
DS1c,each match's DC fitting window is exactly the count of matches strictly earlier in date,0,0,PASS,"an off-by-one here would put same-day matches into their own fitting window, which is the classic form of this leak"
DS2,no outer-test row appears in any outer or inner training set,0,0,PASS,"checked across every rung, every outer fold and every inner fold"
DS2b,the fitted scaler reproduces exactly from the training rows alone,0.0,0.000e+00,PASS,"recomputed independently of the pipeline, from the training rows only; a test row leaking into the scaler would move this"
G10,no column takes the zero-scale guard while actually varying,0,0,PASS,"the guard means 'this column is constant, so do not scale it'. Where the column is NOT constant the guard leaves it in raw units inside a penalised fit. Offenders: none"
DS3a,design widths match Amendment 3's table A3.2,"{'D1': 88, 'D2': 92, 'D3': 112, 'D4': 139}","{'D1': 88, 'D2': 92, 'D3': 112, 'D4': 139}",PASS,"D3 and D4 are NOT fitted in this session; their widths are computed from the frozen feature file, which is what DS3's nesting claim needs and is not a fit"
DS3b,strict nesting D1 < D2 < D3 < D4,strictly increasing,"[88, 92, 112, 139]",PASS,the ladder is nested by construction - each rung is the previous column set plus its own
DS3c,D2's columns are D1's columns plus exactly the four dynamic-state columns,92,92,PASS,"checked on the built matrices, not on the feature lists"
DS4a,corrupting 2025-2026's features moves no selected lambda,0,0,PASS,"E1b, all four folds re-selected on the corrupted matrix"
DS4b,corrupting 2025-2026's features moves no OTHER fold's predictions,0.0,0.000e+00,PASS,"2025-2026 is the only season that is a test season and never a training season, so this assertion is not true by construction"
DS4c,CONTROL: its own fold's predictions DO move,> 0,9.625e-01,PASS,without this the two checks above would pass on a corruption that never landed
DS5,corrupting 2025-2026's labels moves no selected lambda,0,0,PASS,labels of an outer-test season enter scoring and nothing else; if they reached the inner CV this would move
DS6,D0 reproduces Phase 2's frozen base rate on all six metrics and all three class rates,< 1e-9,0.000e+00,PASS,"all four folds; D0 is Phase 2's baseline re-derived, so any divergence would mean the fold structure had moved under it"
