run_at_utc,test_id,test,expected,observed,status,detail
2026-09-11T19:22:08Z,C0a,the freeze on disk is the one this instrument was built against,b36befd3e13d5f7f5d9b0af83b7db819e86d7b13e6fdcab4c55db0599fd248f6,b36befd3e13d5f7f5d9b0af83b7db819e86d7b13e6fdcab4c55db0599fd248f6,PASS,
2026-09-11T19:22:08Z,C0b,the live log protocol is on disk,exists,True,PASS,this file implements section 4 of it and cannot run without it
2026-09-11T19:22:08Z,C1,every captured name is inside the pin's declared twenty,0 outside,0 outside,PASS,through the scoring instrument's OWN assert_vocabulary. No normalisation was added to any loader for this capture either
2026-09-11T19:22:08Z,C2,Pinnacle closing is absent and NO other book is promoted,book = B365C only,B365C,PASS,SW5-PSC. B3.3 fixed Bet365 closing as PRIMARY on completeness before any score existed. Filling the sensitivity arm now would be choosing an instrument after seeing which one survived
2026-09-11T19:22:08Z,C3,the prediction log's hash chain verifies BEFORE anything is joined to it,0,0,PASS,10 rows checked. Capturing results against a log that does not verify would attach real outcomes to rows of unknown provenance
2026-09-11T19:22:08Z,C4,holdout matches with NO pre-kickoff prediction (L2),,10 of 10,INFO,"EXCLUDED FROM THE LOG's figures, NEVER from the holdout. L2.2: the holdout's membership is a date rule in a frozen document and no rule in this protocol may alter it"
2026-09-11T19:22:08Z,C5,new results captured,,0,INFO,nothing has been played since the last capture that carries a prediction
2026-09-15T13:21:24Z,C0a,the freeze on disk is the one this instrument was built against,b36befd3e13d5f7f5d9b0af83b7db819e86d7b13e6fdcab4c55db0599fd248f6,b36befd3e13d5f7f5d9b0af83b7db819e86d7b13e6fdcab4c55db0599fd248f6,PASS,
2026-09-15T13:21:24Z,C0b,the live log protocol is on disk,exists,True,PASS,this file implements section 4 of it and cannot run without it
2026-09-15T13:21:24Z,C1,every captured name is inside the pin's declared twenty,0 outside,0 outside,PASS,through the scoring instrument's OWN assert_vocabulary. No normalisation was added to any loader for this capture either
2026-09-15T13:21:24Z,C2,Pinnacle closing is absent and NO other book is promoted,book = B365C only,B365C,PASS,SW5-PSC. B3.3 fixed Bet365 closing as PRIMARY on completeness before any score existed. Filling the sensitivity arm now would be choosing an instrument after seeing which one survived
2026-09-15T13:21:24Z,C3,the prediction log's hash chain verifies BEFORE anything is joined to it,0,0,PASS,10 rows checked. Capturing results against a log that does not verify would attach real outcomes to rows of unknown provenance
2026-09-15T13:21:24Z,C4,holdout matches with NO pre-kickoff prediction (L2),,10 of 20,INFO,"EXCLUDED FROM THE LOG's figures, NEVER from the holdout. L2.2: the holdout's membership is a date rule in a frozen document and no rule in this protocol may alter it"
2026-09-15T13:21:24Z,C6,no captured match precedes the cutoff its prediction was written against,min state_age_days >= 0,0,PASS,"a negative age would mean a result arrived before the state the prediction was fitted on, which is a leak and not a rounding issue"
2026-09-15T13:21:24Z,C7,"stale rows, L3.5's pre-declared 10-day stratum",,0 of 10 (max 2 days),INFO,"L3.1 keeps the ORIGINAL prediction for a rescheduled match, so a long postponement carries a stale one. Reported as a stratum, never regenerated and never dropped"
2026-09-15T13:21:24Z,C8,B365C price completeness on the new rows,,10 of 10,INFO,"B3.3 chose this book on completeness - 380 of 380 in all five development seasons. A gap is reported, never filled from another book"
2026-09-15T13:21:24Z,C9,the de-vigged market probabilities sum to one,max |sum-1| < 1e-12,1.11e-16,PASS,"B4.1 proportional, computed by phase5_market_benchmark's own devig_proportional rather than a second copy of the formula"
2026-09-15T13:21:56Z,C0a,the freeze on disk is the one this instrument was built against,b36befd3e13d5f7f5d9b0af83b7db819e86d7b13e6fdcab4c55db0599fd248f6,b36befd3e13d5f7f5d9b0af83b7db819e86d7b13e6fdcab4c55db0599fd248f6,PASS,
2026-09-15T13:21:56Z,C0b,the live log protocol is on disk,exists,True,PASS,this file implements section 4 of it and cannot run without it
2026-09-15T13:21:56Z,C1,every captured name is inside the pin's declared twenty,0 outside,0 outside,PASS,through the scoring instrument's OWN assert_vocabulary. No normalisation was added to any loader for this capture either
2026-09-15T13:21:56Z,C2,Pinnacle closing is absent and NO other book is promoted,book = B365C only,B365C,PASS,SW5-PSC. B3.3 fixed Bet365 closing as PRIMARY on completeness before any score existed. Filling the sensitivity arm now would be choosing an instrument after seeing which one survived
2026-09-15T13:21:56Z,C3,the prediction log's hash chain verifies BEFORE anything is joined to it,0,0,PASS,10 rows checked. Capturing results against a log that does not verify would attach real outcomes to rows of unknown provenance
2026-09-15T13:21:56Z,C4,holdout matches with NO pre-kickoff prediction (L2),,10 of 20,INFO,"EXCLUDED FROM THE LOG's figures, NEVER from the holdout. L2.2: the holdout's membership is a date rule in a frozen document and no rule in this protocol may alter it"
2026-09-15T13:21:56Z,C6,no captured match precedes the cutoff its prediction was written against,min state_age_days >= 0,0,PASS,"a negative age would mean a result arrived before the state the prediction was fitted on, which is a leak and not a rounding issue"
2026-09-15T13:21:56Z,C7,"stale rows, L3.5's pre-declared 10-day stratum",,0 of 10 (max 2 days),INFO,"L3.1 keeps the ORIGINAL prediction for a rescheduled match, so a long postponement carries a stale one. Reported as a stratum, never regenerated and never dropped"
2026-09-15T13:21:56Z,C8,B365C price completeness on the new rows,,10 of 10,INFO,"B3.3 chose this book on completeness - 380 of 380 in all five development seasons. A gap is reported, never filled from another book"
2026-09-15T13:21:56Z,C9,the de-vigged market probabilities sum to one,max |sum-1| < 1e-12,1.11e-16,PASS,"B4.1 proportional, computed by phase5_market_benchmark's own devig_proportional rather than a second copy of the formula"
2026-09-15T13:21:56Z,C10,results and market appended to the local mirrors,10 results,"10 results, 10 market",PASS,these two mirrors are NOT committed: they carry 2026-27 scorelines and .gitignore keeps those out of the repository until the holdout is deliberately acquired. L4.8
2026-09-15T13:21:56Z,C11,Supabase insert,,results: OK | market: OK,INFO,"mirror-only is a degraded run, not a failed one"
2026-09-15T13:35:26Z,C0a,the freeze on disk is the one this instrument was built against,b36befd3e13d5f7f5d9b0af83b7db819e86d7b13e6fdcab4c55db0599fd248f6,b36befd3e13d5f7f5d9b0af83b7db819e86d7b13e6fdcab4c55db0599fd248f6,PASS,
2026-09-15T13:35:26Z,C0b,the live log protocol is on disk,exists,True,PASS,this file implements section 4 of it and cannot run without it
2026-09-15T13:35:26Z,C1,every captured name is inside the pin's declared twenty,0 outside,0 outside,PASS,through the scoring instrument's OWN assert_vocabulary. No normalisation was added to any loader for this capture either
2026-09-15T13:35:26Z,C2,Pinnacle closing is absent and NO other book is promoted,book = B365C only,B365C,PASS,SW5-PSC. B3.3 fixed Bet365 closing as PRIMARY on completeness before any score existed. Filling the sensitivity arm now would be choosing an instrument after seeing which one survived
2026-09-15T13:35:26Z,C3,the prediction log's hash chain verifies BEFORE anything is joined to it,0,0,PASS,10 rows checked. Capturing results against a log that does not verify would attach real outcomes to rows of unknown provenance
2026-09-15T13:35:26Z,C4,holdout matches with NO pre-kickoff prediction (L2),,10 of 20,INFO,"EXCLUDED FROM THE LOG's figures, NEVER from the holdout. L2.2: the holdout's membership is a date rule in a frozen document and no rule in this protocol may alter it"
2026-09-15T13:35:26Z,C5,new results captured,,0,INFO,nothing has been played since the last capture that carries a prediction
2026-09-18T05:39:18Z,C0a,the freeze on disk is the one this instrument was built against,b36befd3e13d5f7f5d9b0af83b7db819e86d7b13e6fdcab4c55db0599fd248f6,b36befd3e13d5f7f5d9b0af83b7db819e86d7b13e6fdcab4c55db0599fd248f6,PASS,
2026-09-18T05:39:18Z,C0b,the live log protocol is on disk,exists,True,PASS,this file implements section 4 of it and cannot run without it
2026-09-18T05:39:18Z,C1,every captured name is inside the pin's declared twenty,0 outside,0 outside,PASS,through the scoring instrument's OWN assert_vocabulary. No normalisation was added to any loader for this capture either
2026-09-18T05:39:18Z,C2,Pinnacle closing is absent and NO other book is promoted,book = B365C only,B365C,PASS,SW5-PSC. B3.3 fixed Bet365 closing as PRIMARY on completeness before any score existed. Filling the sensitivity arm now would be choosing an instrument after seeing which one survived
2026-09-18T05:39:18Z,C3,the prediction log's hash chain verifies BEFORE anything is joined to it,0,0,PASS,10 rows checked. Capturing results against a log that does not verify would attach real outcomes to rows of unknown provenance
2026-09-18T05:39:18Z,C4,holdout matches with NO pre-kickoff prediction (L2),,10 of 20,INFO,"EXCLUDED FROM THE LOG's figures, NEVER from the holdout. L2.2: the holdout's membership is a date rule in a frozen document and no rule in this protocol may alter it"
2026-09-18T05:39:18Z,C5,new results captured,,0,INFO,nothing has been played since the last capture that carries a prediction
