test_id,test,expected,observed,status,detail
S1,the regenerated dynamic state reproduces the frozen passthrough lambdas bit-for-bit,0.0,0.000e+00,PASS,"1900 matches; the passthrough's G1 already anchored those lambdas to Phase 2's stored test-row values, so this chains D2's state to Phase 2 through an artefact that is already frozen"
G6,no applicable rung/fold selects a lambda on a grid boundary,0,0,PASS,"Amendment 3: G6 is applicable wherever EPV < 10. Applicable at every fitted (rung, fold) here - the highest EPV reached is 3.98"
DS0,with an all-False mask the local pipeline reproduces I4.fit_pipeline bit-for-bit,0.0,0.000e+00,PASS,"the pass-through rule of section 6 is the ONLY difference between them; anchoring it here is what makes the new code path readable as Phase 3's, plus one declared change"
DS0b,design columns passing through unstandardised,,11,INFO,"section 6: boolean and indicator columns are neither centred nor scaled. Classified by column KIND, never by observed values"
DS1a,"DC state is invariant to corrupting every match from the cutoff onward, at 6 probe dates",0.0,0.000e+00,PASS,"the window is matches with date STRICTLY < cutoff, so nothing at or after the cutoff can reach the fit. Tested by corruption rather than by re-reading the filter"
DS1b,"every Elo before-rating follows from earlier matches alone, under Phase 2's declared season-transition policy",< 1e-9,0.000e+00,PASS,"3800 before-ratings checked against continuing / promoted / returning-after-absence, the three cases of Phase 1's transition table. A before-rating that is a pure function of the team's own earlier matches cannot carry information from later ones"
DS1c,each match's DC fitting window is exactly the count of matches strictly earlier in date,0,0,PASS,"an off-by-one here would put same-day matches into their own fitting window, which is the classic form of this leak"
DS2,no outer-test row appears in any outer or inner training set,0,0,PASS,"checked across every rung, every outer fold and every inner fold"
DS2b,the fitted scaler reproduces exactly from the training rows alone,0.0,0.000e+00,PASS,"recomputed independently of the pipeline, from the training rows only; a test row leaking into the scaler would move this"
DS3a,design widths match Amendment 3's table A3.2,"{'D1': 88, 'D2': 92, 'D3': 112, 'D4': 139}","{'D1': 88, 'D2': 92, 'D3': 112, 'D4': 139}",PASS,"D3 and D4 are NOT fitted in this session; their widths are computed from the frozen feature file, which is what DS3's nesting claim needs and is not a fit"
DS3b,strict nesting D1 < D2 < D3 < D4,strictly increasing,"[88, 92, 112, 139]",PASS,the ladder is nested by construction - each rung is the previous column set plus its own
DS3c,D2's columns are D1's columns plus exactly the four dynamic-state columns,92,92,PASS,"checked on the built matrices, not on the feature lists"
DS4a,corrupting 2025-2026's features moves no selected lambda,0,0,PASS,"D2, all four folds re-selected on the corrupted matrix"
DS4b,corrupting 2025-2026's features moves no OTHER fold's predictions,0.0,0.000e+00,PASS,"2025-2026 is the only season that is a test season and never a training season, so this assertion is not true by construction"
DS4c,CONTROL: its own fold's predictions DO move,> 0,9.651e-01,PASS,without this the two checks above would pass on a corruption that never landed
DS5,corrupting 2025-2026's labels moves no selected lambda,0,0,PASS,labels of an outer-test season enter scoring and nothing else; if they reached the inner CV this would move
DS6,D0 reproduces Phase 2's frozen base rate on all six metrics and all three class rates,< 1e-9,0.000e+00,PASS,"all four folds; D0 is Phase 2's baseline re-derived, so any divergence would mean the fold structure had moved under it"
DS7,Block C / Block X columns are read from the frozen artefacts,,"NOT EXERCISED (no C or X column enters D0, D1 or D2)",INFO,"the frozen feature file's block counts are {'C_context': 12, 'X_prior_composite': 24, 'X_availability': 3, 'X_metadata': 4}; DS10 verifies the file's hash. This test becomes live at D3, which is not run in this session"
DS8a,a second full run of every fitted rung reproduces every probability bit-for-bit,0.0,0.000e+00,PASS,"Newton from a zero start on a strictly convex objective, and a seeded bootstrap; nothing here should have a source of variation"
DS8b,and selects the same lambda at every fold,0,0,PASS,the selection is a deterministic minimum with a declared tie-break
DS9,every rung's pooled and per-fold output passes the harness's validate_probabilities,0,0,PASS,"15 probability arrays checked. The harness raises rather than repairing, so a renormalised break cannot pass silently"
DS10,frozen_manifest.py --verify: no frozen artefact moved hash,0,0,PASS,  PASS - every frozen artefact matches the manifest.
DS11,extracted DC state through Phase 2's own outcome_probabilities() reproduces dc_walkforward,< 1e-9,1.110e-16,PASS,1520 test rows; extracted 0.9903635065 against Phase 2's four-fold mean 0.9903635065. The state D2 is built from is the state DC scored
DS12,every inner split has max(train date) STRICTLY < min(validation date),0,0,PASS,"32 inner splits across every fitted rung and fold; the tightest gap is 1 day(s). This is the constraint that forced the calendar date to replace the (season, matchweek) block"
