test_id,test,expected,observed,status,detail
A4a-D2_rescaled,Amendment 4's robust mask still selects exactly its three columns at D2_rescaled,3,3,PASS,"the mask is by NAME, so it carries into a wider design unchanged: rel_attack_diff, rel_defence_diff, expected_total_goals"
A4b-D2_rescaled,no D2_rescaled column both passes through unstandardised and takes robust scaling,0,0,PASS,"A4.4 - the robust rule applies to continuous columns only, so it and section 6 can never contend for the same column"
A4a-D3,Amendment 4's robust mask still selects exactly its three columns at D3,3,3,PASS,"the mask is by NAME, so it carries into a wider design unchanged: rel_attack_diff, rel_defence_diff, expected_total_goals"
A4b-D3,no D3 column both passes through unstandardised and takes robust scaling,0,0,PASS,"A4.4 - the robust rule applies to continuous columns only, so it and section 6 can never contend for the same column"
A4a-D4,Amendment 4's robust mask still selects exactly its three columns at D4,3,3,PASS,"the mask is by NAME, so it carries into a wider design unchanged: rel_attack_diff, rel_defence_diff, expected_total_goals"
A4b-D4,no D4 column both passes through unstandardised and takes robust scaling,0,0,PASS,"A4.4 - the robust rule applies to continuous columns only, so it and section 6 can never contend for the same column"
G6,no applicable rung/fold selects a lambda on a grid boundary,0,0,PASS,"EPV 0.63 to 3.80 across the three rungs, all far below the applicability threshold of 10, so the gate is live at every rung and every fold. Boundary selections: none"
A1,the D2 rescaled re-fitted here reproduces the COMMITTED Amendment 4 artefact bit for bit,< 1e-12 and 0 lambda moves,"5.551e-17, 0 moves",PASS,"the base rung is re-fitted rather than read so that every delta below is a genuinely PAIRED bootstrap - both arms scored on the same rows in the same order from one process. Verified against outputs/phase4_a4_fold_summary.csv on disk, not an in-memory copy"
P1-D2_rescaled,D2_rescaled's pooled log loss equals the unweighted mean of its four fold values,< 1e-12,0.000e+00,PASS,"true only because every fold tests exactly 380 rows. It is cheap and it has caught two bugs, so it is asserted rather than assumed"
P1-D3,D3's pooled log loss equals the unweighted mean of its four fold values,< 1e-12,0.000e+00,PASS,"true only because every fold tests exactly 380 rows. It is cheap and it has caught two bugs, so it is asserted rather than assumed"
P1-D4,D4's pooled log loss equals the unweighted mean of its four fold values,< 1e-12,0.000e+00,PASS,"true only because every fold tests exactly 380 rows. It is cheap and it has caught two bugs, so it is asserted rather than assumed"
X1a,"at fold 1, D4 carries exactly 27 more constant columns than D3 - one for every column D4 adds",27,27,PASS,"D3 29 constant of 112, D4 56 of 139. The whole of the width difference is inert, which is what makes the two rungs identical there. Read on the fold summary, the table the number is read from"
X1b,the 27 columns D4 adds are all Block X,0 foreign of 27,0 foreign of 27,PASS,counting to 27 twice is not the same claim as the 27 being the same 27. Checked by BLOCK MEMBERSHIP on the built design: none
X1c,every one of those 27 columns is constant over fold 1's training rows,0,0,PASS,"2021-22 is the first season in the data, so 24 of the 27 are wholly MISSING there and the remaining 3 hold one value. Measured on the built design over the 380 training rows, not inferred from the season list. Varying: none"
X1d,"with 27 inert columns the D4 - D3 fold 1 log loss delta is floating-point zero, and every added coefficient is exactly 0",< 1e-15 and beta 0,"5.113e-18, max |beta| 0.000e+00",PASS,this is the row that reads as a bug. It is the ridge doing the only thing it can with a constant column. NOT a tolerance on a difference that should be zero - the coefficients are exactly zero and the delta is what floating point leaves behind
DS0,with an all-False mask the local pipeline reproduces I4.fit_pipeline bit-for-bit,0.0,0.000e+00,PASS,"the pass-through rule of section 6 is the ONLY difference between them; anchoring it here is what makes the new code path readable as Phase 3's, plus one declared change"
DS0b,design columns passing through unstandardised,,11,INFO,"section 6: boolean and indicator columns are neither centred nor scaled. Classified by column KIND, never by observed values"
DS1a,"DC state is invariant to corrupting every match from the cutoff onward, at 6 probe dates",0.0,0.000e+00,PASS,"the window is matches with date STRICTLY < cutoff, so nothing at or after the cutoff can reach the fit. Tested by corruption rather than by re-reading the filter"
