test_id,test,expected,observed,status,detail
E4a,"the shot columns join all 1,900 matches with no missing cell","1900 joined, 0 missing","1900 joined, 0 missing",PASS,"the same join Phase 5B gated at 1,900/1,900. Re-asserted here because this instrument reads different COLUMNS of the same file and a column can be absent where a row is not"
E4b,"the source's known defects are exactly the ones the audit recorded, in count","1 SoT>shots, 12 goals>SoT","1 SoT>shots, 12 goals>SoT",PASS,"NOT REPAIRED. One impossible row (Newcastle 2-4 West Ham, AS 8 / AST 9) and twelve rows where goals exceed SoT, which are the expected signature of own goals rather than corruption. The counts are asserted so a source that changes underneath this rung fails here rather than being absorbed into a rating"
E9a,no odds column survives into the frame the ratings are fitted from,0,0,PASS,"the file is now read for two purposes and that does not merge the purposes. Only the twelve shot columns are selected out of it, by name, and this asserts the selection rather than trusting it. Survivors: none"
F4a,each fold's c is bit-identical to E1a's stored c_pooled at that fold's first cutoff,0.000e+00,0.000e+00,PASS,"recomputed here from E1a's own formula and then matched against the frozen artefact, rather than only read out of it. A value read from a file proves nothing about the rule that produced it"
F4b,"each fold's first-cutoff window holds exactly 380 x fold matches, so the window IS that fold's training set","[380, 760, 1140, 1520]","[380, 760, 1140, 1520]",PASS,"this identity is the WHOLE argument that c is training rows only. F1.2 rests on it and it is asserted rather than assumed. E1a's own stored counts: [380, 760, 1140, 1520]"
F5,corrupting every outer-test row's goals and shots moves no fold's conversion constant,0.000e+00,6.984e-01,FAIL,1520 outer-test rows overwritten with noise. If a test row were inside any fold's c window this would move
F5-diagnosis,"what F5 caught: nested folds, not a leak",,"fold 1 window seasons ['2021-2022'] (own test season 2022-2023 present: False); fold 2 window seasons ['2021-2022', '2022-2023'] (own test season 2023-2024 present: False); fold 3 window seasons ['2021-2022', '2022-2023', '2023-2024'] (own test season 2024-2025 present: False); fold 4 window seasons ['2021-2022', '2022-2023', '2023-2024', '2024-2025'] (own test season 2025-2026 present: False)",INFO,"no fold's OWN test season is inside its OWN c window. What is inside is EARLIER folds' test seasons, which are this fold's training data by the frozen fold design. F5's wording overreached and is left failing rather than softened; F5b is the discriminating test"
F5b,corrupting a fold's OWN test season moves that fold's conversion constant not at all,0.000e+00,0.000e+00,PASS,"the claim F1.2 actually makes and the one that matters for this rung: c is fitted on the fold's training rows and the fold's own test season is not among them. WRITTEN AFTER SEEING F5 FAIL, which is disclosed rather than hidden - it carries no threshold, tests an implication the design already relies on, and would read identically had F5 passed"
F6,"the block is missing exactly where a team has fewer than five prior matches in the season, and nowhere else",0,0,PASS,"both directions. The window never crosses a season boundary (F2.3), so every season restarts with five matchweeks unavailable; NaN is imputed to the TRAINING median with an availability indicator"
F14,the persistence arm is computed on TRAINING ROWS ONLY and its row count is reported,"4 folds, training seasons only","4 folds, n = [120, 240, 360, 480]",PASS,"non-overlapping consecutive five-match windows within a team-season, anchored at match numbers [6, 11, 16, 21, 26, 31, 36]. Each fold uses ITS OWN c and its own training seasons. Largest |r|: 0.0857, against F4.2(b)'s declared threshold of 0.10"
F7,"E1c's column is LESS a restatement of shot differential than E1b's was, ordinally",r2(E1c) < r2(E1b),0.0077 < 0.8155,PASS,F7.2 declares this ordinal rather than numeric: there is no principled threshold to declare in advance and a threshold picked to be passed is not a gate. F7.3: if this FAILS the rung is UNINTERPRETABLE as a finishing measure whatever its delta says
F1,"the D1 backbone the base rung is built from is 84 feature names, none of them among E1c's six","84 names, 0 of them new","84 names, 0 of them new",PASS,E10e's successor. Kept even though d1_features() now selects by inclusion and block_of() raises - a fix and its gate are not substitutes. 84 is a count of FEATURE NAMES; they expand to 88 design columns through the categoricals
F3,E1c's design is exactly D2 rescaled plus the six declared columns,"92 + 6 = 98, the six named in F2.1","92 + 6 = 98, added ['away_finishing_available', 'away_finishing_last5', 'home_finishing_available', 'home_finishing_last5', 'rel_finishing_available', 'rel_finishing_diff']",PASS,checked by NAME on the built design. A count of six is not the same claim as the six being the declared six
F3b,"all four fold-specific designs have identical shape and column names, and differ ONLY in the finishing columns","4 x 98 columns, identical names","1 distinct shapes, 1 distinct name lists",PASS,"F1.4: the fold dependence must be confined to the block. If the widths differed, the rungs would not be comparable across folds"
F3c,the four fold-specific designs genuinely differ in the finishing column,4,4,PASS,"c differs by fold, so the column must too. If these were identical the per-fold construction would be doing nothing and F1.2 would be decorative"
F7-robust-base,Amendment 4's robust mask selects exactly THREE columns at the D2 rescaled control arm,3,3,PASS,"F3.3. The amended A4a's first half: the rule must NOT have drifted into the base. Selected: rel_attack_diff, rel_defence_diff, expected_total_goals"
F7-robust-e1c,and exactly SIX at E1c - the three DC-derived plus the three finishing columns,6,6,PASS,"F3.1: E1c's columns subtract a FITTED constant, so they are derived-from-a-fit and take Amendment 4's rule. Selected: home_finishing_last5, away_finishing_last5, rel_finishing_diff, rel_attack_diff, rel_defence_diff, expected_total_goals"
F3d,"the three availability indicators pass through unstandardised, and the three finishing columns do not","3 passthrough, 3 scaled",3 passthrough of 3 indicators,PASS,"F3.2, section 6 classifies by column KIND"
F9,no odds column appears in any design matrix,0,0,PASS,"asserted by NAME over the built design, not by intention. Checked against the 11 exact column names the odds artefact actually carries (overround, price_A, price_D, price_H, prop_p_A, prop_p_D, ...), plus an ANCHORED bookmaker-code pattern. Loose substrings were the first version and they flagged E1c's own columns because 'finishing' contains 'shin'. Offenders: none"
F12,"all six columns are declared through declare_block(), and block_of() raises on an undeclared name","6 declared, undeclared raises","6 declared, raises: True",PASS,asserted POSITIVELY - a name deliberately withheld from the registry must raise - rather than merely relied on
F15,run_rung_folds() handed the same matrix at every fold reproduces LADDER.run_rung exactly,0.000e+00,0.000e+00,PASS,"the local fold loop exists only to pick a per-fold matrix (F1.4). This asserts it is otherwise the shared loop - a stand-in verified against the thing it stands in for, not merely believed to match it"
